Date Made Public,Name & Location,type,Number of Records
1/29/2007,"Mendoza College of Business, Notre Dame University (Notre Dame, IN, South Bend, IN)","A file of individuals who took the GMAT test (Graduate Management Admissions Test) was mistakenly left on a computer that was decommissioned. The computer was later reactivated and plugged into the Internet. Its files were available through a file-sharing program. Data included names, scores, SSNs and demographic information from 2001.",Unknown
2/2/2007,"Massachusetts Dept. of Industrial Accidents (Boston, MA) (800) 323-3249 ext. 560 www.mass.gov/dia","A former state contractor allegedly accessed a workers' compensation data file and stole personal information, including SSNs. The thief used the data to commit identity theft on at least 3 individuals.","1,200 people who submitted claims"
2/2/2007,"Indian Consulate via Haight Ashbury Neighborhood Council recycling center (San Francisco, CA)","Visa applications and other sensitive documents were accessible for more than a month in an open yard of a recycling center. Information included applicants' names, addresses, phone numbers, birthdates, professions, employers, passport numbers, and photos. A sampling of documents indicated that the paperwork included everyone who applied in the Western states from 2002-2005. Applicants were current and former executives of major Bay Area companies that have operations in India.",Unknown
2/2/2007,"Wisconsin Assembly (Madison, WI)","A document containing personal information of Wisconsin Assembly members was stolen from a legislative employee's car while she was exercising at a local gym. It contained names, addresses, and SSNs.",109 Assembly members and aides
2/2/2007,"University of Missouri, Research Board Grant Application System (Columbia, MO)","A hacker broke into a UM computer server mid-January and might have accessed personal information, including SSNs, of 1,220 researchers on 4 campuses. The passwords of 2,579 individuals might also have been exposed.","3,799"
2/2/2007,"New York Dept. of State (Albany, NY)",The agency's Web site posted commercial loan documents that mistakenly contained SSNs. The forms are posted to let lenders know the current financial status of loan recipients.,Unknown
2/2/2007,"U.S. Dept. of Veteran's Affairs, VA Medical Center (Birmingham, AL) (877) 894-2600","An employee reported a portable hard drive stolen or missing that might contain personal information about veterans including Social Security numbers. UPDATE (2/10/07): VA increases number of affected veterans to 535,000, included in the total below. UPDATE (2/12/07): VA reported that billing information for 1.3 million doctors was also exposed, including names and Medicare billing codes, not included in the total below. UPDATE (3/19/07): The VA's Security Operations Center has referred 250 incidents since July 2006 to its inspector general, which has led to 46 separate investigations. UPDATE (6/18/07):More than $20 million to respond to its latest data breach, the breach potentially puts the identities of nearly a million physicians and VA patients.","48,000 veterans plus 535,000"
2/3/2007,"CTS Tax Service (Cassopolis, MI)","The computer and hard drive of a tax preparation company were stolen. Data included names, bank account numbers, routing numbers, birthdates, SSNs, and addresses.",800
2/6/2007,"NY Dept. of Labor (Glenn Falls, NY)",Laptop computer containing personal information for people who were employed by 13 Capital Region businesses stolen from state tax auditor's apartment.,537
2/6/2007,"Metro Credit Services (Hurst, TX)","Files of the defunct bill collection company containing medical records, phone bills and Social Security numbers were found in a trash bin.","""thousands"""
2/7/2007,"University of Nebraska (Lincoln, NE)","An employee accidentally posted SSNs of 72 students, professors, and staff on UNL's public Web site where they remained for 2 years. They have since been removed.",72
2/7/2007,"Johns Hopkins University and Johns Hopkins Hospital (Baltimore, MD)","Johns Hopkins reported the disappearance of 9 backup computer tapes containing personal information of employees and patients, Eight of the tapes contained payroll information on 52,000 past and present employees, including SSNs and in some cases bank account numbers. The 9th tape contained ""less sensitive"" information about 83,000 hospital patients.","52,000 past and present employees plus 83,000 patients"
2/7/2007,"A Toronto, Ontario, residence (Canada)","Credit card data for more than 35,000 individuals from across North America were discovered by police when they executed a search warrant at a Toronto residence. A man has since been arrested on fraud and counterfeiting charges.",The number is not included in the total below because it is not known how many of the affected individuals are from the U.S.
2/7/2007,"Central Connecticut State University (New Britain, CT)",Social Security numbers of about 750 CCSU students were exposed in the name and address window on envelopes mailed to them. The envelopes were not folded correctly. They contained IRS 1098T forms.,750 students
2/8/2007,"Piper Jaffrey (Minneapolis, MN)","W-2s sent to current and former employees in January included employees' Social Security numbers on the outside of the envelope. Though the numbers were not identified as Social Security numbers, they followed the standard XXX-XX-XXXX format. Executives indicated the mishap was an error by a third-party vendor.","""more than 1,000 employees"""
2/8/2007,"St. Mary's Hospital (Leonardtown, MD)","A laptop was stolen in December that contained names, SSNs, and birthdates for many of the Hospital's patients.","130,000"
2/9/2007,"East Carolina University (Greenville, NC) www.ecu.edu/incident/ 877-328-6660","A programming error resulted in personal information of 65,000 individuals being exposed on the University's Web site. The data has since been removed. Included were names, addresses, SSNs, and in some cases credit card numbers.","65,000 students, alumni, and staff members"
